YEAR,FTOTVAL
1964,7091.91348110665
1965,7387.833501532138
1966,7786.119104084321
1967,8492.2421952356
1968,8696.904312695286
1969,9504.170636333663
1970,10392.301953929276
1971,10909.446568349791
1972,11341.651031935075
1973,12342.359360985723
1974,13290.071992065996
1975,14147.251027096894
1976,14942.04779425346
1977,16132.372122960964
1978,17390.582854867505
1979,18973.875356581477
1980,20806.778288371683
1981,22190.399513669097
1982,24116.51669606584
1983,25337.68929812156
1984,26464.037427016698
1985,28924.57366046529
1986,30473.088785432035
1987,31921.93253917205
1988,33701.10892422105
1989,34996.95917394099
